"Shopping cart","Корзина"
"BAG","Корзина"
"View Cart","В Корзину"
"Continue to Checkout","Оформить заказ"
"Shopping Cart is Empty","Ваша Корзина пуста"
"Clear Shopping Cart","Очистить Корзину"
"Navigation","Меню"
"Sign Up","Регистрация"
"Sign In","Вход"
"Log In","Вход"
"Log Out","Выход"
"You are now logged out","Вы вышли из своей учетной записи"
"You have logged out and will be redirected to our homepage in 5 seconds.","Вы вышли из своей учетной записи и будете перенаправлены на главную страницу в течении 5 секунд."
"Login","Вход"
"Create an Account","Регистрация"
"Forgot Your Password?","Забыли пароль?"
"Remember Me","Запомнить на сайте"
"What's this?","Что это?"
"Back to Login?","Назад в авторизацию?"
"Sign Up for Newsletter","Подписаться на рассылку"
"From Twitter","Twitter"
"Facebook","Facebook"
"Follow us","Оставаться с нами"
"on Twitter","Twitter"
"There was an error connecting to your Twitter account","Ошибка при подключении к Twitter"
"Size Guide","Таблица размеров"
"Share","Поделиться"
"Popular Brands","Бренды"
"Staff pick","Популярное"
"Sort By","Сортировать"
"Choose an Option...","Выберите размер"
"Manufacturer","Бренд"
"Color","Цвет"
"Size","Размер"
"more...","еще..."
"less...","меньше..."
"Shop By","Фильтр"
"WRITE YOUR REVIEW", "НАПИСАТЬ ОТЗЫВ"
"Checkout","Оформить заказ"
"Unable to find Product ID","Невозможно найти ID модели"
"%s was added to your shopping cart.","%s добавлено в корзину."
"Cannot add the item to shopping cart.","Невозможно добавить в корзину."
"Quote item is not found.","Запрошенная модель не найдена."
"%s was updated in your shopping cart.","%s был изменнен в корзине."
"Cannot update the item.","Невозможно изменить."
"The product %s has been added to comparison list.","Модель добавленна %s в список сравнения."
"Wishlist Has Been Disabled By Admin","Лист пожеланий был заблокирован администратором"
"Please Login First","Необходима авторизация"
"Unable to Create Wishlist","Невозможно создать Лист пожеланий"
"Product Not Found","Модель не найдена"
"Cannot specify product.","Невозможно определить модель."
"%1$s has been added to your wishlist.","%1$s была добавленна в Ваш Лист пожеланий."
"An error occurred while adding item to wishlist: %s","Произошла ошибка при добавлении в Лист пожеланий: %s"
"An error occurred while adding item to wishlist.","Произошла ошибка при добавлении в Лист пожеланий."
"My Dashboard","Личный Кабинет"
"Product Details and Comment","Информация о товаре"
"Please, enter your comments...","Оставте Ваши комментарии"
"Please specify the product's option(s).","Пожалуйста выберите размер."
"Send Email","Отправить"
"Add Recipient","Добавить адрес"
"Address Book","Адресная Книга"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Уважаемый Клиент, из Личного Кабинета Вы сможете управлять личной информацией, а так же отслеживать состояние вашего заказа."
"Contact Information","Контактная Информация"
"Default Shipping Address","Адрес доставки по умолчанию"
"You are currently not subscribed to any newsletter.","На данный момент, Вы не подписанны не на одну рассылку."
"The subscription has been saved.","Подписка сохранена."
"The subscription has been removed.","Подписка удалена."
"Newsletter Subscriptions","Мои Подписки"
"My Product Reviews","Мои Отзывы"
"Last Ordered Items","Последний заказ"
"Print Version","Версия для печати"
"Last Added Items","Последние добавленные"
"My Account","Личный кабинет"
"Search By Address, Zip Code, State","Поиск по адресу или городу"
"Search","Поиск"
"Distance","Растояние"
"View Detail","Подробнее"
"Phone","Телефон"
"Edit item","Редактировать"
"My Wishlist ","Мой лист пожеланий "
"Free call","тел."
"Brands","Бренды"